branch,mean_coherence,standard_error_of_mean,z_score,p_value,z_alpha,decision_test,z_alpha_bonferroni_corrected,decision_bonferroni_corrected,branch_length,number_of_sites,rate_category
"(A1, Node1*)",2.1989,0.1378,15.9608,0.0,1.6449,Informative,2.7131,Informative,0.060995531542499995,115,c2
"(A2, Node1*)",2.0422,0.1539,13.271,0.0,1.6449,Informative,2.7131,Informative,0.1579125933792,115,c2
"(Node2*, Node1*)",1.7304,0.1333,12.9781,0.0,1.6449,Informative,2.9137,Informative,0.1651572583668,115,c2
"(Node3*, Node2*)",1.6476,0.1384,11.9022,0.0,1.6449,Informative,2.9137,Informative,0.1375981314129,115,c2
"(Node4*, Node2*)",1.6836,0.1369,12.2995,0.0,1.6449,Informative,3.0781,Informative,0.1197072193518,115,c2
"(A3, Node3*)",2.2231,0.1404,15.8346,0.0,1.6449,Informative,2.7131,Informative,0.0436795765182,115,c2
"(A4, Node3*)",2.2214,0.1526,14.5553,0.0,1.6449,Informative,2.7131,Informative,0.1159891949187,115,c2
"(Node5*, Node4*)",1.4095,0.1163,12.1169,0.0,1.6449,Informative,3.0781,Informative,0.004046372883,115,c2
"(Node8*, Node4*)",-0.9877,0.1584,-6.237,1.0,1.6449,Saturated,3.1628,Saturated,2.2613079008178,115,c2
"(Node6*, Node5*)",2.1438,0.1475,14.5373,0.0,1.6449,Informative,2.9137,Informative,0.06897619334970001,115,c2
"(Node7*, Node5*)",2.3447,0.1459,16.0672,0.0,1.6449,Informative,2.9137,Informative,0.039474168918299996,115,c2
"(Node9*, Node8*)",2.4873,0.15,16.5789,0.0,1.6449,Informative,3.1582,Informative,0.044991925749,115,c2
"(B4, Node8*)",2.32,0.1397,16.6069,0.0,1.6449,Informative,2.7131,Informative,2.2201992e-06,115,c2
"(A5, Node6*)",2.4224,0.1517,15.9662,0.0,1.6449,Informative,2.7131,Informative,0.0687732493671,115,c2
"(A6, Node6*)",2.4051,0.1519,15.8298,0.0,1.6449,Informative,2.7131,Informative,0.0580276150254,115,c2
"(A7, Node7*)",2.834,0.1585,17.8789,0.0,1.6449,Informative,2.7131,Informative,0.0378646439841,115,c2
"(A8, Node7*)",2.8576,0.1583,18.0522,0.0,1.6449,Informative,2.7131,Informative,0.0482254388928,115,c2
"(Node10*, Node9*)",2.1609,0.1424,15.1735,0.0,1.6449,Informative,3.144,Informative,0.1088721286011,115,c2
"(B3, Node9*)",2.4257,0.1563,15.5147,0.0,1.6449,Informative,2.7131,Informative,0.1085011869951,115,c2
"(Node11*, Node10*)",1.9327,0.1368,14.1253,0.0,1.6449,Informative,2.9137,Informative,0.0968843823723,115,c2
"(Node12*, Node10*)",1.9461,0.1414,13.7587,0.0,1.6449,Informative,3.0781,Informative,0.1806275673486,115,c2
"(B1, Node11*)",2.2231,0.1514,14.6867,0.0,1.6449,Informative,2.7131,Informative,0.1156563366156,115,c2
"(B2, Node11*)",2.3253,0.148,15.7156,0.0,1.6449,Informative,2.7131,Informative,0.1087178314275,115,c2
"(Node13*, Node12*)",1.9613,0.1505,13.0325,0.0,1.6449,Informative,2.9137,Informative,0.1974901079988,115,c2
"(Node14*, Node12*)",1.927,0.1321,14.5839,0.0,1.6449,Informative,2.9137,Informative,0.047198396344499995,115,c2
"(B5, Node13*)",2.6679,0.1571,16.9877,0.0,1.6449,Informative,2.7131,Informative,0.0993431190798,115,c2
"(B6, Node13*)",2.5228,0.1455,17.3445,0.0,1.6449,Informative,2.7131,Informative,0.021929331584699997,115,c2
"(B7, Node14*)",2.5257,0.1542,16.3827,0.0,1.6449,Informative,2.7131,Informative,0.10931117858459999,115,c2
"(B8, Node14*)",2.5226,0.1519,16.6104,0.0,1.6449,Informative,2.7131,Informative,0.0711126415386,115,c2
